Steps,Policy/Entropy,Environment/Lesson/PathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
1140000,0.8721602,0.0,223.35042735042734,0.32738963,0.23044658,0.6694529797786322,0.6694529797786322,0.2903746456260053,0.0011689089,0.06968712,9.9437275e-05,0.19943728,0.009943783,0.0051968684,0.01009689,1.0
1170000,0.7859212,0.0,257.4160583941606,0.360029,0.22687607,0.6025652041037878,0.6025652041037878,0.3202959721894476,0.0014219031,0.06790724,9.942236e-05,0.19942236,0.009942294,0.0045376527,0.0069850134,1.0
1200000,0.96597034,0.0,236.75294117647059,0.27003577,0.1976323,0.6808493971824646,0.6808493971824646,0.27849254896316455,0.001184718,0.0712553,9.94074e-05,0.19940741,0.009940798,0.005609189,0.013204086,1.0
1230000,0.79641294,0.0,325.8050847457627,0.2946002,0.19572079,0.47070337124800277,0.47070337124800277,0.38779827844848763,0.0012297749,0.07042398,9.939235e-05,0.19939235,0.009939297,0.004955311,0.0095143905,1.0
1260000,0.818015,0.0,225.04237288135593,0.36135638,0.1980097,0.6732084617271261,0.6732084617271261,0.27964660884334974,0.0013474936,0.071141966,9.937747e-05,0.19937749,0.009937808,0.005302984,0.008429609,1.0
1290000,0.8337197,0.0,292.85714285714283,0.31638342,0.19880769,0.5305663694103225,0.5305663694103225,0.4060453994183981,0.001409541,0.069232196,9.936253e-05,0.19936255,0.009936318,0.005510895,0.012383054,1.0
1320000,0.7059537,0.0,178.24,0.41580385,0.20563662,0.7750639896591505,0.7750639896591505,0.2013880853774026,0.0014055396,0.0663533,9.934771e-05,0.19934773,0.009934836,0.005372786,0.011407651,1.0
1350000,0.7728404,0.0,239.39473684210526,0.3184813,0.17753305,0.6377245482514825,0.6377245482514825,0.3277646340062155,0.0010666013,0.06905355,9.933295e-05,0.19933295,0.009933361,0.0052157654,0.005884818,1.0
1380000,0.7677946,0.0,302.24074074074076,0.3076157,0.17111686,0.5472261518518501,0.5472261518518501,0.3723538942704691,0.0016679713,0.07029168,9.931752e-05,0.19931751,0.009931819,0.00525216,0.006102627,1.0
1410000,0.7891474,0.0,250.29464285714286,0.3253103,0.18709266,0.6350017546024997,0.6350017546024997,0.32462019136637055,0.0013543896,0.07058482,9.930215e-05,0.19930217,0.009930285,0.0058227777,0.007830301,1.0
1440000,0.809943,0.0,265.8220338983051,0.3506051,0.19180852,0.6069932040774216,0.6069932040774216,0.34312836490808274,0.0013315734,0.06801124,9.928738e-05,0.1992874,0.009928809,0.0052869874,0.008110271,1.0
1470000,0.7936689,0.0,212.53719008264463,0.34317595,0.17979127,0.696504121846404,0.696504121846404,0.2784589339963599,0.0010345824,0.07166878,9.9272605e-05,0.1992726,0.009927334,0.0048663663,0.005371199,1.0
1500000,0.8822898,0.0,301.44117647058823,0.26645085,0.15991837,0.4885722620062309,0.4885722620062309,0.3793665144643239,0.0010524638,0.069857895,9.925786e-05,0.19925785,0.009925859,0.005134559,0.007881858,1.0
1530000,0.803628,0.0,278.1140350877193,0.31585315,0.15443276,0.5714990996417746,0.5714990996417746,0.33282803577387426,0.0011862159,0.07099934,9.924247e-05,0.1992425,0.009924325,0.005137905,0.011253017,1.0
1560000,0.85620004,0.0,314.8181818181818,0.2430418,0.12421164,0.45431331594785057,0.45431331594785057,0.40400257478985524,0.0009888585,0.06598066,9.922719e-05,0.19922718,0.009922796,0.0050475984,0.011350162,1.0
