Steps,Policy/Entropy,Environment/Lesson/PathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
1950000,0.8087916,4.0,62.42270531400966,0.6482568,1.6261685,0.9183840908558972,0.9183840908558972,0.22595887446933122,0.42130217,0.07032805,0.00028064923,0.19354975,0.009355619,0.021493714,0.049793653,1.0
1980000,0.7659122,4.0,75.29203539823008,0.6652237,1.4576966,0.8891241625446966,0.8891241625446966,0.6972488732368348,0.028335799,0.06834293,0.00028035245,0.19345081,0.0093457345,0.016864596,0.040035915,1.0
2010000,0.7742775,4.0,61.09234234234234,0.6745025,1.4698848,0.9209743767307046,0.9209743767307046,0.20747046909305486,0.023608683,0.07204206,0.00028005842,0.1933528,0.0093359435,0.016042795,0.041052464,1.0
2040000,0.6517225,4.0,73.70355731225297,0.7201214,1.5977162,0.9044007865804257,0.9044007865804257,0.25151857333165584,0.02386137,0.071036294,0.00027975268,0.1932509,0.009325763,0.015112584,0.022435188,1.0
2070000,0.64594364,4.0,49.518248175182485,0.7538138,1.9059849,0.9431967096280878,0.9431967096280878,0.15444701884186615,0.037557244,0.06974047,0.00027944875,0.19314958,0.009315644,0.014746802,0.034087814,1.0
2100000,0.79111254,4.0,59.89906103286385,0.66504085,1.7527695,0.923760182509936,0.923760182509936,0.19894963362422147,0.027654354,0.072029255,0.00027915515,0.19305171,0.009305865,0.015190409,0.037924018,1.0
2130000,0.6799627,4.0,74.18120805369128,0.692477,1.8445114,0.896719903720572,0.896719903720572,0.2430009872483827,0.03024053,0.074933685,0.00027885239,0.19295079,0.009295782,0.014866524,0.037336607,1.0
2160000,0.08243095,4.0,514.375,0.23536985,0.7925139,0.047862472012639046,0.047862472012639046,1.512935293954797,0.004570163,0.07702558,0.0002785429,0.19284761,0.009285477,0.0044358657,0.01891918,1.0
2190000,0.029056503,4.0,782.3225806451613,-0.015811427,0.1879049,-0.5569516569375992,-0.5569516569375992,0.732370913749741,0.0011519239,0.0778789,0.00027824016,0.19274673,0.009275396,0.0049063945,0.030480772,1.0
2220000,0.16319335,4.0,522.0625,-0.070663795,0.18280558,0.1027124710381031,0.1027124710381031,0.827243885374628,0.0012863518,0.06917683,0.00027794798,0.19264933,0.009265667,0.0066946456,0.03985121,1.0
2250000,0.2458793,4.0,555.0617283950618,0.02677713,0.2147271,-0.024444474850171878,-0.024444474850171878,1.029362874439009,0.0030157082,0.07069404,0.00027764592,0.19254865,0.009255609,0.0074666403,0.017505156,1.0
2280000,0.41143912,4.0,483.6136363636364,0.0006393116,0.21296942,0.28899543021212926,0.28899543021212926,1.0989425088363616,0.003366717,0.071333796,0.00027734533,0.19244845,0.009245598,0.010102339,0.036595006,1.0
2310000,0.8210358,4.0,236.12037037037038,0.33332732,0.43643716,0.6558409162038981,0.6558409162038981,0.8097111834191479,0.0089432215,0.07166208,0.00027704923,0.19234972,0.009235739,0.019277452,0.03473378,1.0
2340000,0.7129956,4.0,54.50292397660819,0.7155117,0.74859715,0.943905647589914,0.943905647589914,0.21051775303362463,0.007839853,0.06941995,0.00027675304,0.19225101,0.009225875,0.017953703,0.025874313,1.0
2370000,0.7576097,4.0,58.28314606741573,0.6845089,0.8281027,0.9300072186418366,0.9300072186418366,0.21407681374766488,0.008499291,0.07135916,0.00027644786,0.19214927,0.009215713,0.01580554,0.028184462,1.0
2400000,0.6830232,4.0,63.65139442231076,0.7200035,0.99043304,0.9126799953455972,0.9126799953455972,0.18839462049452976,0.011235335,0.06877858,0.00027614407,0.192048,0.009205596,0.013039487,0.019016216,1.0
2430000,0.78495955,4.0,61.28051948051948,0.62340826,1.0866235,0.9231262293728915,0.9231262293728915,0.17671655971895564,0.009696721,0.06728949,0.00027585033,0.1919501,0.009195815,0.014212034,0.03130271,1.0
2460000,0.7213884,4.0,81.19424460431655,0.6495143,1.2053574,0.88722168052771,0.88722168052771,0.25285719890506514,0.010460855,0.07121812,0.00027555824,0.19185276,0.009186089,0.014320767,0.024966264,1.0
