Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
630000,0.8631207,428.0759493670886,0.15492626,0.89851326,0.38984048583462266,0.38984048583462266,3.340294351247198,0.07495296,0.07426692,0.00028155124,0.19385043,0.009385656,0.03606801,0.05723695,1.0
660000,0.83248395,464.271186440678,0.111822784,0.8136572,0.24816331130762895,0.24816331130762895,4.736127155832946,0.04029139,0.06622899,0.00028064637,0.19354875,0.009355523,0.0338229,0.052544914,1.0
690000,0.96368206,463.59183673469386,0.038529057,0.6983287,0.3117958968695329,0.3117958968695329,2.8440992497667974,0.019124959,0.06922128,0.00027975166,0.19325052,0.00932573,0.027163155,0.044120442,1.0
720000,0.93445194,619.4666666666667,0.07683162,0.6887374,-0.014539015242608927,-0.014539015242608927,3.824123636014381,0.006543558,0.070102654,0.00027882113,0.19294037,0.009294742,0.030333588,0.040540475,1.0
750000,0.9527213,497.1296296296296,0.09104962,0.7424433,0.17863997668027878,0.17863997668027878,2.7515402920036154,0.007823143,0.068356805,0.00027792115,0.1926404,0.009264774,0.029024372,0.034711048,1.0
780000,0.9088899,442.8658536585366,0.1302115,0.77076083,0.3459234325974076,0.3459234325974076,3.192582153979643,0.019240526,0.06911745,0.00027702202,0.19234066,0.009234832,0.031384926,0.039677076,1.0
810000,0.9180459,457.2,0.14012906,0.73284125,0.3150262086362135,0.3150262086362135,3.3307371077692656,0.023199182,0.0708306,0.00027612605,0.19204201,0.009204997,0.03129241,0.031567633,1.0
840000,0.9461765,554.1785714285714,0.082597956,0.8656818,0.23141068725713662,0.23141068725713662,5.034802465899182,0.21200721,0.06954828,0.00027522375,0.19174124,0.00917495,0.031800326,0.04214577,1.0
870000,0.98602265,423.0571428571429,0.1436697,0.6954394,0.38260577608277835,0.38260577608277835,2.6832210835646433,0.0065553784,0.06812374,0.00027432776,0.19144258,0.009145113,0.03256437,0.042517968,1.0
900000,0.99453783,438.59090909090907,0.16838796,0.72213435,0.3273090706630187,0.3273090706630187,2.3655430118581564,0.0074369307,0.06619726,0.00027341748,0.19113915,0.0091148,0.0287322,0.03195153,1.0
930000,0.9379323,467.4642857142857,0.12615862,0.8311764,0.3228249717503786,0.3228249717503786,3.2750355168910965,0.010058173,0.068346016,0.00027252184,0.1908406,0.009084976,0.032721158,0.04358954,1.0
960000,1.0171227,459.27272727272725,0.13877259,0.735318,0.27925382248866254,0.27925382248866254,3.1156113118184012,0.0085653495,0.071263544,0.00027162724,0.19054241,0.009055187,0.031694796,0.040581953,1.0
990000,0.9865924,422.05263157894734,0.11451314,0.739625,0.3848736633857091,0.3848736633857091,2.502479996826304,0.008641295,0.06995996,0.000270734,0.19024466,0.00902544,0.032726657,0.053188775,1.0
1020000,0.97190714,533.8135593220339,0.08504998,0.76299447,0.23607015178391808,0.23607015178391808,5.081712597825875,0.14049502,0.07143249,0.0002698312,0.18994375,0.008995377,0.03690926,0.044736437,1.0
1050000,0.9860912,478.5151515151515,0.13235854,0.78208655,0.3301793836495456,0.3301793836495456,2.8798793187666245,0.00846485,0.068741426,0.00026893138,0.18964382,0.008965413,0.031891827,0.046963252,1.0
1080000,1.0508999,525.075,0.04126629,0.75407684,0.19976997151970863,0.19976997151970863,3.623962319025304,0.007531817,0.07069681,0.00026804194,0.18934731,0.008935795,0.03544551,0.030932358,1.0
1110000,0.94373274,573.3582089552239,0.0694823,0.77726245,0.06821190943913673,0.06821190943913673,3.4362840293281116,0.017649136,0.071497865,0.00026712372,0.18904123,0.008905218,0.034680743,0.0382526,1.0
1140000,0.94723284,488.8181818181818,0.12947121,0.7538658,0.1981045928138953,0.1981045928138953,3.2469739896603502,0.006538506,0.06855544,0.00026622394,0.18874133,0.0088752555,0.03302493,0.04132625,1.0
1170000,1.008406,312.8,0.17190619,0.8226471,0.5708368240218413,0.5708368240218413,2.594888385385275,0.018335966,0.07095309,0.00026533412,0.18844473,0.008845626,0.043245874,0.037116952,1.0
1200000,0.94744456,514.3088235294117,0.16144826,0.81100625,0.14729703436879552,0.14729703436879552,3.4393107159583667,0.012145397,0.06892861,0.00026443755,0.18814585,0.008815768,0.04362259,0.07318647,1.0
1230000,1.0432898,520.1730769230769,0.09974122,0.86172956,0.21044997240488345,0.21044997240488345,4.406217352200586,0.02182298,0.072688885,0.00026354325,0.18784772,0.008785989,0.029676106,0.059035953,1.0
1260000,0.9766707,569.8245614035088,0.13013197,0.90445113,0.10663568694144487,0.10663568694144487,4.762473632781101,0.15101066,0.07048782,0.00026264339,0.18754779,0.008756025,0.052174978,0.068682075,1.0
1290000,0.93872535,445.8529411764706,0.10265378,0.78691435,0.30742316477108694,0.30742316477108694,3.0376467664010716,0.01203227,0.07063863,0.00026175324,0.18725109,0.008726383,0.03224859,0.0442718,1.0
1320000,0.95274836,441.6031746031746,0.102817595,0.82486355,0.3678158503912744,0.3678158503912744,3.074368050706292,0.008565402,0.06834386,0.0002608537,0.18695123,0.008696428,0.052711736,0.05891976,1.0
1350000,0.97209775,434.8831168831169,0.15102468,0.751205,0.383194787548734,0.383194787548734,3.013430413681191,0.012236199,0.06826351,0.00025995346,0.18665114,0.00866645,0.038912613,0.041166034,1.0
1380000,0.9833826,439.9230769230769,0.15559335,0.8196571,0.3445692120836331,0.3445692120836331,3.191679941619245,0.0071162423,0.0687807,0.00025905273,0.18635091,0.008636454,0.027926827,0.033929795,1.0
1410000,0.90723044,497.7567567567568,0.15384293,0.95903677,0.2723675409482943,0.2723675409482943,4.03211301092587,0.13966776,0.07113854,0.00025815083,0.18605028,0.008606422,0.04267418,0.037121404,1.0
1440000,0.93308,340.64516129032256,0.16546565,0.89142376,0.5463935270184471,0.5463935270184471,2.874769330415274,0.014230205,0.06716164,0.00025725734,0.18575247,0.00857667,0.028751198,0.03445093,1.0
1470000,0.995563,589.18,0.0710104,0.8650598,0.07130200674339217,0.07130200674339217,4.740127214306623,0.017564917,0.067148425,0.0002563497,0.18544991,0.008546445,0.038925696,0.046328384,1.0
1500000,1.0240948,438.1212121212121,0.13008259,0.8867565,0.34496415495427685,0.34496415495427685,3.244072922074528,0.010195517,0.07181154,0.00025544505,0.18514834,0.008516317,0.031350434,0.04505291,1.0
1530000,0.9250752,506.3606557377049,0.11760146,1.0046666,0.2311934200955219,0.2311934200955219,3.4931529058204567,0.09376226,0.068409726,0.00025455357,0.18485118,0.008486632,0.04091243,0.046625514,1.0
1560000,0.90311444,460.2647058823529,0.14148088,1.0254458,0.27486762251047525,0.27486762251047525,4.570864044075065,0.030273324,0.06837247,0.00025365475,0.1845516,0.008456702,0.035673674,0.048336573,1.0
1590000,0.9581492,518.4230769230769,0.13310987,0.8816209,0.2506653636407394,0.2506653636407394,5.2024631795401755,0.17704439,0.07867627,0.00025276392,0.18425465,0.008427038,0.030521428,0.038343083,1.0
1620000,0.9562681,506.17391304347825,0.14522614,0.9056635,0.23625291620983796,0.23625291620983796,4.136433896362124,0.021948714,0.06920187,0.00025187046,0.18395683,0.008397286,0.04203428,0.04826812,1.0
1650000,0.9080082,422.59420289855075,0.061273184,1.0111469,0.3118799793933119,0.3118799793933119,3.4682322218748074,0.036415633,0.07143493,0.00025097755,0.18365917,0.0083675515,0.03668053,0.037688844,1.0
1680000,0.9642457,477.75409836065575,-0.060607016,0.9856135,0.27623931941438895,0.27623931941438895,4.805057921675874,0.101493046,0.06743672,0.000250077,0.18335898,0.008337563,0.034857802,0.03929076,1.0
1710000,1.0372914,616.8604651162791,0.059638824,0.8362148,0.08069299109453379,0.08069299109453379,3.6438479370242636,0.016904732,0.06950106,0.00024917256,0.18305752,0.008307445,0.026791368,0.04251968,1.0
1740000,0.9157577,519.2777777777778,0.11721902,0.98323435,0.19154926893157018,0.19154926893157018,4.078995714121511,0.063355654,0.07398067,0.00024824843,0.18274945,0.008276671,0.042738426,0.054179773,1.0
1770000,1.0075814,359.96491228070175,0.10858752,0.7220722,0.5082448068363913,0.5082448068363913,3.3810528625718095,0.0125866635,0.06752714,0.0002473203,0.18244009,0.008245764,0.03488412,0.049023706,1.0
1800000,1.0398145,576.0689655172414,0.097254425,0.74944574,0.1306965216223536,0.1306965216223536,3.5215764246913124,0.0073269443,0.06916394,0.00024642685,0.18214227,0.008216014,0.031909496,0.059899542,1.0
1830000,1.0548122,509.71666666666664,0.10852221,0.7930286,0.26114573455968143,0.26114573455968143,3.3554549554552313,0.009010891,0.07232697,0.00024553467,0.18184488,0.008186303,0.034465384,0.045322347,1.0
1860000,0.9576637,488.1746031746032,0.12685688,0.81055355,0.2100698154360529,0.2100698154360529,3.039991488177625,0.0076112626,0.06801464,0.0002446337,0.18154454,0.0081563005,0.035581443,0.050368156,1.0
1890000,0.995175,524.0377358490566,0.08754351,0.81982684,0.18922960523653914,0.18922960523653914,4.170739458356467,0.020028057,0.07125189,0.00024372798,0.18124263,0.008126141,0.042124145,0.04903086,1.0
1920000,0.99979645,500.86764705882354,0.09636409,0.79963416,0.2121522098557273,0.2121522098557273,3.3346527788106965,0.098808244,0.06908383,0.00024282392,0.1809413,0.008096036,0.04460827,0.058709923,1.0
1950000,0.9569987,483.76363636363635,0.16254467,0.8043102,0.25172854041946785,0.25172854041946785,3.8968315158937394,0.007760183,0.07064734,0.00024192923,0.18064308,0.008066242,0.03846244,0.0591654,1.0
1980000,0.95749944,545.7358490566038,0.10057163,0.81518155,0.20882638895286704,0.20882638895286704,3.9282024181887225,0.009300671,0.07194613,0.00024102385,0.18034127,0.008036092,0.03568507,0.04046816,1.0
2010000,0.89879555,491.9861111111111,0.027045043,0.89387405,0.24397774982369608,0.24397774982369608,5.157816644525155,0.5419748,0.0738134,0.00024013652,0.1800455,0.008006546,0.06741083,0.060276307,1.0
2040000,1.004071,420.2142857142857,0.14252985,0.93091506,0.4082742641014712,0.4082742641014712,6.728184096914317,1.0445237,0.06804626,0.00023925111,0.17975035,0.007977061,0.06334392,0.0491062,1.0
2070000,1.0152867,537.1063829787234,0.105746,0.7640662,0.12230209926975534,0.12230209926975534,4.580184682138621,0.008801834,0.07199119,0.00023835734,0.17945243,0.007947298,0.029981418,0.04482185,1.0
2100000,0.9539845,558.5322580645161,0.12219556,0.8912808,0.23326226555910268,0.23326226555910268,4.104980458459649,0.014626011,0.07174219,0.00023746247,0.17915416,0.007917499,0.04446066,0.035957564,1.0
