Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
750000,1.0899891,0.00087258586,2.4563808,0.019664874,0.06930296,0.00027793922,0.1926464,0.009265374,0.099307746,0.28564197,None,0.06500000203959644,0.06500000203959644,211.99559668451548,1.0
780000,0.96619856,0.0017859358,2.5538783,0.07565662,0.06848573,0.0002770637,0.19235456,0.009236219,0.10031055,0.10956923,None,None,None,None,1.0
810000,0.9963855,0.002811344,1.7898877,0.008281287,0.06843725,0.0002761421,0.19204736,0.00920553,0.022442373,0.02660946,None,None,None,None,1.0
840000,1.0877491,0.012902244,0.76409477,0.0059356545,0.07054056,0.0002752205,0.19174016,0.009174841,0.043751724,0.7375967,9999.0,0.05400000126312741,0.05400000126312741,93.96530706841837,1.0
870000,1.0211896,-0.040642787,0.8346164,1.8031847,0.07224402,0.00027433923,0.19144641,0.009145495,0.28576526,1.5495458,None,0.06400000164285302,0.06400000164285302,82.43744444847107,1.0
900000,0.9282182,-0.00024174727,2.2054536,0.08994383,0.074846424,0.0002734637,0.19115455,0.0091163395,0.26740775,4.0178857,None,None,None,None,1.0
930000,0.8638008,0.029064864,3.005756,0.04963486,0.069691874,0.0002725421,0.19084737,0.009085651,0.17036378,1.3583142,None,None,None,None,1.0
960000,1.0226644,0.021326084,2.6456308,0.061380077,0.06912363,0.00027162052,0.19054016,0.009054962,0.13216305,2.9278483,9999.0,0.06836363846774805,0.06836363846774805,337.44680245356125,1.0
990000,0.88886946,0.014810437,2.2842526,3.8735335,0.07054241,0.00027073923,0.1902464,0.009025615,0.21838582,0.87889796,None,0.045000001322478056,0.045000001322478056,310.53120052814484,1.0
1020000,1.0133604,0.008444917,1.6124268,0.03212036,0.0690861,0.0002698637,0.18995455,0.00899646,0.1311836,0.36092672,None,None,None,None,1.0
1050000,0.8671988,0.008786108,1.8924427,0.11188227,0.06854344,0.0002689421,0.18964736,0.008965771,0.15311344,0.9517764,None,None,None,None,1.0
1080000,0.80410916,0.019433288,3.1017666,0.024005001,0.06890028,0.0002680205,0.18934014,0.008935082,0.08952379,4.2050343,9999.0,0.06018182009839537,0.06018182009839537,292.44182057780296,1.0
1110000,0.6404063,-0.0024900574,1.7140507,0.34465235,0.071234904,0.00026713923,0.1890464,0.008905735,0.08393827,0.47261748,None,0.05600000137928873,0.05600000137928873,334.5260770395398,1.0
1140000,0.93794674,-0.0006822089,0.9432215,0.0016885776,0.0730493,0.0002662637,0.18875456,0.00887658,0.051385485,0.17995214,None,None,None,None,1.0
1170000,0.8030105,0.00065260136,1.2684077,0.0074117794,0.06919934,0.0002653421,0.18844736,0.008845891,0.042594258,0.1483414,None,None,None,None,1.0
1200000,1.0902214,0.009894287,0.8729634,0.0041299025,0.068083264,0.0002644205,0.18814015,0.008815202,0.08536647,0.088621095,9999.0,0.06463636534119194,0.06463636534119194,117.76689511503686,1.0
